de	ADP	de
de	ADP	de
(	PUNCT	(
au	ADV	au
se	PRON	se
derrière	ADP	derrière
,	PUNCT	,
avoir	VERB	avoir
suspendue	VERB	suspendre
Un	DET	un
Bleu	PROPN	Bleu
kilomètres	NOUN	kilomètre
auxiliaire	ADJ	auxiliaire
et	CCONJ	et
d'	ADP	de
ciel	NOUN	ciel
un	DET	un
pics	NOUN	pic
Limpide	ADJ	limpide
bicyclette	NOUN	bicyclette
de	ADP	de
aussitôt	ADV	aussitôt
Aquaria	PROPN	Aquaria
.	PROPN	.
du	ADP	de
Bleu	PROPN	Bleu
depuis	ADP	depuis
quittant	VERB	quitter
aux	ADP	à
de	ADP	de
superbe	ADJ	superbe
-	ADV	-
aigle	NOUN	aigle
nuage	NOUN	nuage
selle	NOUN	selle
était	AUX	être
Tel	ADJ	tel
en	ADP	en
ces	DET	ce
soufflait	VERB	souffler
maître	NOUN	maître
d'	ADP	de
terres	NOUN	terre
de	ADP	de
intermédiaire	NOUN	intermédiaire
.	PUNCT	.
ciel	NOUN	ciel
l'	DET	le
du	ADP	de
maîtres	NOUN	maître
atteindre	VERB	atteindre
plongeons	NOUN	plongeon
de	ADP	de
hélium	NOUN	hélium
et	CCONJ	et
quelqu'	PRON	quelqu'
poumons	NOUN	poumon
de	ADP	de
séparaient	VERB	séparer
Lou	PROPN	Lou
l'	DET	le
tachetés	VERB	tacheter
plaisir	NOUN	plaisir
payer	VERB	payer
Dans	ADP	dans
d'	ADP	de
le	PRON	le
obscurcissait	VERB	obscurcir
du	ADP	de
et	CCONJ	et
les	DET	le
le	DET	le
aigle	NOUN	aigle
seul	ADJ	seul
blanc	NOUN	blanc
il	PRON	il
'	PRON	'
tracée	VERB	tracer
,	PUNCT	,
la	DET	le
Limpide	ADJ	limpide
à	ADP	à
la	DET	le
un	PRON	un
de	ADP	de
déchiquetés	VERB	déchiqueter
l'	DET	le
mais	CCONJ	mais
recouverte	VERB	recouvrir
,	PUNCT	,
Mirage	PROPN	Mirage
flottait	VERB	flotter
.	PUNCT	.
libre	ADJ	libre
.	PUNCT	.
sur	ADP	sur
sous	ADP	sous
aimait	VERB	aimer
ciel	NOUN	ciel
des	ADP	de
régulier	ADJ	régulier
dans	ADP	dans
aile	NOUN	aile
Lou	PROPN	Lou
dans	ADP	dans
Lou	PROPN	Lou
proximativement	ADV	proximativement
suis	AUX	être
Tout	DET	tout
,	PUNCT	,
sous	ADP	sous
souvenir	VERB	souvenir
seize	NUM	seize
l'	DET	le
Limpide	ADJ	limpide
vent	NOUN	vent
et	CCONJ	et
,	PUNCT	,
un	DET	un
sources	NOUN	source
et	CCONJ	et
recelaient	VERB	receler
sol	NOUN	sol
-	NOUN	-
Des	DET	un
,	PUNCT	,
flancs	NOUN	flanc
léger	ADJ	léger
ses	DET	son
composée	VERB	composer
parvenaient	VERB	parvenir
la	DET	le
était	AUX	être
le	DET	le
des	ADP	de
pédaler	VERB	pédaler
avoir	VERB	avoir
aigle	NOUN	aigle
mue	VERB	mouvoir
oriental	ADJ	oriental
bleu	NOUN	bleu
des	ADP	de
hélices	NOUN	hélice
allaient	VERB	aller
effectuer	VERB	effectuer
et	CCONJ	et
d'	ADP	de
Bleu	PROPN	Bleu
Il	PRON	il
.	PUNCT	.
pilote	NOUN	pilote
les	DET	le
pour	ADP	pour
la	DET	le
,	PUNCT	,
aussi	ADV	aussi
contreforts	NOUN	contrefort
,	PUNCT	,
.	PUNCT	.
n'	ADV	n'
ÉTAIT	VERB	être
Voie	NOUN	voie
devenant	VERB	devenir
horizon	NOUN	horizon
parfait	ADJ	parfait
lui	PRON	lui
du	ADP	de
de	ADP	de
aiment	VERB	aimer
Voie	NOUN	voie
traînées	NOUN	traînée
invisible	ADJ	invisible
,	PUNCT	,
canyons	NOUN	canyon
les	DET	le
donnaient	VERB	donner
accomplissaient	VERB	accomplir
en	ADP	en
vent	NOUN	vent
La	DET	le
d'	ADP	de
,	PUNCT	,
,	PUNCT	,
air	NOUN	air
infiltrait	VERB	infiltrer
prix	NOUN	prix
avait	AUX	avoir
les	DET	le
sol	NOUN	sol
accidentée	ADJ	accidenté
.	PUNCT	.
allait	VERB	aller
devoir	VERB	devoir
peuple	NOUN	peuple
pédaler	VERB	pédaler
surplombait	VERB	surplomber
en	ADP	en
fournir	VERB	fournir
amateurs	NOUN	amateur
velours	NOUN	velours
.	PUNCT	.
aériens	ADJ	aérien
gonflé	VERB	gonfler
voie	NOUN	voie
sa	DET	son
.	PUNCT	.
point	NOUN	point
il	PRON	il
fabriqué	VERB	fabriquer
l'	DET	le
Sur	ADP	sur
.	PUNCT	.
sous	ADP	sous
Aquaria	PROPN	Aquaria
s'	PRON	se
eau	NOUN	eau
.	PUNCT	.
de	ADP	de
le	DET	le
,	PUNCT	,
Ici	ADV	ici
.	PUNCT	.
placées	VERB	placer
et	CCONJ	et
limpide	ADJ	limpide
En	ADP	en
tant	ADV	tant
à	ADP	à
aigle	NOUN	aigle
aussi	ADV	aussi
faisait	VERB	faire
l'	DET	le
arches	NOUN	arche
.	PUNCT	.
sud	NOUN	sud
ne	ADV	ne
lui-même	PRON	lui-même
et	CCONJ	et
espace	NOUN	espace
uniquement	ADV	uniquement
faisait	AUX	faire
!	PUNCT	!
karma	NOUN	karma
fit	AUX	faire
contraire	ADJ	contraire
Commercial	ADJ	commercial
où	PRON	où
le	DET	le
en	ADP	en
surface	NOUN	surface
d'	ADP	de
Avec	ADP	avec
de	ADP	de
vent	NOUN	vent
avec	ADP	avec
musquées	ADJ	musquer
.	PUNCT	.
y	PRON	y
Au	ADV	au
treize	NUM	treize
-	ADJ	-
se	PRON	se
ce	DET	ce
Aigle	PROPN	Aigle
bleu	ADJ	bleu
jouaient	VERB	jouer
un	PRON	un
l'	DET	le
arrivée	NOUN	arrivée
est	NOUN	est
fit	VERB	faire
la	DET	le
laissent	VERB	laisser
villes	NOUN	ville
extrémité	NOUN	extrémité
d'	ADP	de
les	DET	le
communautés	NOUN	communauté
Sierra	PROPN	Sierra
ne	ADV	ne
noir	ADJ	noir
fois	NOUN	fois
était	AUX	être
par	ADP	par
à	ADP	à
ombres	NOUN	ombre
vol	NOUN	vol
nuage	NOUN	nuage
du	ADP	de
le	DET	le
eu	VERB	avoir
n'	ADV	n'
embrasaient	VERB	embraser
prirent	VERB	prendre
immédiates	ADJ	immédiat
pans	NOUN	pan
sans	ADP	sans
ils	PRON	il
de	ADP	de
de	ADP	de
,	PUNCT	,
était	AUX	être
important	ADJ	important
lui	PRON	lui
de	ADP	de
Limpide	PROPN	Limpide
d'	ADP	de
de	ADP	de
grandir	VERB	grandir
d'	ADP	de
✓	PUNCT	✓
mit	VERB	mettre
enseignaient	VERB	enseigner
.	PUNCT	.
suspecter	VERB	suspecter
corps	NOUN	corps
qu'	PRON	qu'
l'	DET	le
cessaient	VERB	cesser
réalités	NOUN	réalité
la	DET	le
se	PRON	se
se	PRON	se
Bleu	PROPN	Bleu
des	ADP	de
de	ADP	de
autorisées	VERB	autoriser
le	DET	le
,	PUNCT	,
montagnes	NOUN	montagne
aigles	NOUN	aigle
Mais	CCONJ	mais
,	PUNCT	,
BLEU	PROPN	BLEU
Limpide	PROPN	Limpide
d'	ADP	de
à	ADP	à
Je	PRON	je
heure	NOUN	heure
centre	NOUN	centre
n'	ADV	n'
pouvait	VERB	pouvoir
présent	NOUN	présent
.	PUNCT	.
qu'	SCONJ	que
favorable	ADJ	favorable
au-dessus	ADV	au-dessus
.	PUNCT	.
les	DET	le
lui	PRON	lui
Lou	PROPN	Lou
.	PUNCT	.
l'	DET	le
plus	ADV	plus
du	ADP	de
ses	DET	son
,	PUNCT	,
.	PUNCT	.
et	CCONJ	et
qui	PRON	qui
carmin	NOUN	carmin
a	AUX	avoir
dans	ADP	dans
Limpide	ADJ	limpide
la	DET	le
cas	NOUN	cas
expérimenté	ADJ	expérimenté
vitesse	NOUN	vitesse
Sierra	PROPN	Sierra
solaire	ADJ	solaire
La	DET	le
pas	ADV	pas
.	PUNCT	.
Suspendu	VERB	suspendre
l'	PRON	l'
Limpide	ADJ	limpide
de	ADP	de
orange	NOUN	orange
des	ADP	de
la	DET	le
de	ADP	de
.	PUNCT	.
la	DET	le
à	ADP	à
qui	PRON	qui
une	DET	un
.	PUNCT	.
agréable	ADJ	agréable
et	CCONJ	et
Grande	ADJ	grand
éléments	NOUN	élément
l'	DET	le
en	ADP	en
câbles	NOUN	câble
de	ADP	de
,	PUNCT	,
vive	ADJ	vif
impliquée	VERB	impliquer
,	PUNCT	,
plus	ADV	plus
ce	DET	ce
actionné	VERB	actionner
d'	ADP	de
senteurs	NOUN	senteur
Centre	NOUN	centre
permet	VERB	permettre
d'	ADP	de
autresmais	CCONJ	autresmais
la	DET	le
d'	ADP	de
.	PUNCT	.
Si	SCONJ	si
!	PUNCT	!
actionner	VERB	actionner
aile	NOUN	aile
trouvait	VERB	trouver
Limpide	ADJ	limpide
entre	ADP	entre
son	DET	son
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
que	ADV	que
à	ADP	à
soleil	NOUN	soleil
la	DET	le
Un	DET	un
couchant	NOUN	couchant
celle	PRON	celui
était	AUX	être
mis	VERB	mettre
à	ADP	à
ne	ADV	ne
,	PUNCT	,
Bleue	ADJ	bleu
des	DET	un
La	DET	le
fois	NOUN	fois
pousser	VERB	pousser
bleu	ADJ	bleu
de	ADP	de
de	ADP	de
l'	DET	le
ap	ADV	ap
ou	CCONJ	ou
plus	ADV	plus
où	PRON	où
ombre	NOUN	ombre
être	AUX	être
,	PUNCT	,
et	CCONJ	et
chacun	PRON	chacun
une	DET	un
des	DET	un
vers	ADP	vers
son	DET	son
de	ADP	de
et	CCONJ	et
un	DET	un
dernière	ADJ	dernier
part	NOUN	part
,	PUNCT	,
l'	DET	le
par	ADP	par
Voie	NOUN	voie
d'	ADP	de
le	DET	le
pilote	NOUN	pilote
ployer	VERB	ployer
cet	DET	ce
mettait	VERB	mettre
un	DET	un
commande	NOUN	commande
suivre	VERB	suivre
de	ADP	de
jour	NOUN	jour
,	PUNCT	,
il	PRON	il
Lou	PROPN	Lou
idéal	ADJ	idéal
noire	ADJ	noir
un	DET	un
blanche	ADJ	blanc
rythme	NOUN	rythme
s'	PRON	se
et	CCONJ	et
le	DET	le
sérieusement	ADV	sérieusement
dernier	ADJ	dernier
centrale	ADJ	central
se	PRON	se
contraint	VERB	contraindre
,	PUNCT	,
un	DET	un
heure	NOUN	heure
il	PRON	il
Friche	PROPN	Friche
du	ADP	de
la	DET	le
le	DET	le
une	DET	un
,	PUNCT	,
pure	ADJ	pur
il	PRON	il
ses	DET	son
salutaire	ADJ	salutaire
manipulant	VERB	manipuler
allongeaient	VERB	allonger
Lou	PROPN	Lou
tout	DET	tout
fut	AUX	être
,	PUNCT	,
,	PUNCT	,
harmonie	NOUN	harmonie
ballon	NOUN	ballon
,	PUNCT	,
Il	PRON	il
par	ADP	par
plus	ADV	plus
karma	NOUN	karma
que	SCONJ	que
les	DET	le
dessous	ADV	dessous
l'	DET	le
à	ADP	à
de	ADP	de
il	PRON	il
qui	PRON	qui
voies	NOUN	voie
moins	ADV	moins
delà	ADV	delà
Aquaria	PROPN	Aquaria
viraient	VERB	virer
de	ADP	de
lui	PRON	lui
le	DET	le
il	PRON	il
Lou	PROPN	Lou
.	PUNCT	.
marionnettiste	NOUN	marionnettiste
de	ADP	de
dont	PRON	dont
mécanisme	NOUN	mécanisme
la	PRON	le
il	PRON	il
et	CCONJ	et
temps	NOUN	temps
:	PUNCT	:
.	PUNCT	.
être	AUX	être
Bleu	PROPN	Bleu
conscience	NOUN	conscience
pédaler	VERB	pédaler
forme	NOUN	forme
pédalait	VERB	pédaler
que	SCONJ	que
,	PUNCT	,
à	ADP	à
la	DET	le
le	DET	le
le	DET	le
pas	ADV	pas
rejoindre	VERB	rejoindre
Il	PRON	il
.	PUNCT	.
le	DET	le
produisait	VERB	produire
apparence	NOUN	apparence
a.	PUNCT	a.
qu'	PRON	qu'
cet	DET	ce
contraire	ADJ	contraire
des	ADP	de
sueur	NOUN	sueur
des	DET	un
après-midi	NOUN	après-midi
est	AUX	être
cas	NOUN	cas
,	PUNCT	,
se	PRON	se
parfaits	ADJ	parfait
emplissait	VERB	emplir
courants	NOUN	courant
Merde	NOUN	merde
rarement	ADV	rarement
du	ADP	de
esprit	NOUN	esprit
.	PUNCT	.
aérien	ADJ	aérien
oiseau	NOUN	oiseau
qui	PRON	qui
faire	VERB	faire
incombait	VERB	incomber
karma	NOUN	karma
se	PRON	se
office	NOUN	office
de	ADP	de
science	NOUN	science
d'	ADP	de
,	PUNCT	,
.	PUNCT	.
,	PUNCT	,
survolait	VERB	survoler
l'	DET	le
le	DET	le
neige	NOUN	neige
à	ADP	à
en	ADP	en
.	PUNCT	.
Vu	VERB	voir
le	DET	le
percevait	VERB	percevoir
solaires	ADJ	solaire
était	AUX	être
Voie	NOUN	voie
limpide	ADJ	limpide
par	ADP	par
crépuscule	NOUN	crépuscule
qu'	SCONJ	que
aigle	NOUN	aigle
Autrement	ADV	autrement
encore	ADV	encore
de	ADP	de
le	DET	le
hélice	NOUN	hélice
de	ADP	de
son	DET	son
se	PRON	se
atteindre	VERB	atteindre
des	ADP	de
laissa	VERB	laisser
et	CCONJ	et
le	PRON	le
mouvement	NOUN	mouvement
avant	ADP	avant
.	PUNCT	.
du	ADP	de
à	ADP	à
regard	NOUN	regard
le	DET	le
La	DET	le
char	NOUN	char
plus	ADV	plus
.	PUNCT	.
,	PUNCT	,
le	DET	le
était	AUX	être
dans	ADP	dans
Lorsque	SCONJ	lorsque
aile	NOUN	aile
bleu	ADJ	bleu
hélium	NOUN	hélium
ciel	NOUN	ciel
,	PUNCT	,
la	DET	le
Lou	PROPN	Lou
,	PUNCT	,
en	PRON	en
fermes	NOUN	ferme
pour	ADP	pour
pièce	NOUN	pièce
pur	ADJ	pur
la	DET	le
coucherait	VERB	coucher
cyclonavigateurs	NOUN	cyclonavigateur
