bronzé	VERB	bronzer
d'	ADP	de
cinéma	NOUN	cinéma
,	PUNCT	,
dit	VERB	dire
.	PUNCT	.
distinguait	VERB	distinguer
la	DET	le
,	PUNCT	,
libéra	VERB	libérer
vas	VERB	aller
monter	VERB	monter
certainement	ADV	certainement
mots	NOUN	mot
PREMIER	ADJ	premier
et	CCONJ	et
question	NOUN	question
remarquer	VERB	remarquer
attention	NOUN	attention
.	PUNCT	.
de	ADP	de
devant	ADP	devant
jouait	VERB	jouer
la	DET	le
de	ADP	de
il	PRON	il
ou	CCONJ	ou
hocha	VERB	hocher
de	ADP	de
C'	PRON	ce
geste	NOUN	geste
il	PRON	il
CHAPITRE	NOUN	chapitre
,	PUNCT	,
d'	ADP	de
J'	PRON	je
directeurs	NOUN	directeur
de	ADP	de
le	PRON	le
la	DET	le
.	PUNCT	.
Certes	ADV	certes
aide	VERB	aide
taille	NOUN	taille
en	ADP	en
.	PUNCT	.
.	PUNCT	.
qu'	PRON	qu'
lui	PRON	lui
entourent	VERB	entourer
,	PUNCT	,
lui	PRON	lui
bien	ADV	bien
côté	NOUN	côté
curiosité	NOUN	curiosité
mince	ADJ	mince
encore	ADV	encore
des	ADP	de
écharpe	NOUN	écharpe
Vrai	ADJ	vrai
pour	ADP	pour
au	ADP	au
personnalités	NOUN	personnalité
un	DET	un
.	PUNCT	.
tendait	VERB	tendre
accident	NOUN	accident
Ils	PRON	il
fond	NOUN	fond
carrière	NOUN	carrière
artiste	NOUN	artiste
dans	ADP	dans
—	PUNCT	—
toute	ADJ	tout
fermées	ADJ	fermé
.	PUNCT	.
les	DET	le
—	PUNCT	—
encore	ADV	encore
,	PUNCT	,
Avec	ADP	avec
où	PRON	où
-elle	PRON	lui
,	PUNCT	,
portes	NOUN	porte
et	CCONJ	et
celui	PRON	celui
—	PUNCT	—
—	PUNCT	—
il	PRON	il
de	ADP	de
grec	ADJ	grec
cinéma	NOUN	cinéma
Grand	ADJ	grand
teint	NOUN	teint
il	PRON	il
écharpe	NOUN	écharpe
venait	VERB	venir
.	PUNCT	.
le	DET	le
L'	DET	le
.	PUNCT	.
dit	VERB	dire
quartier	NOUN	quartier
.	PUNCT	.
en	ADP	en
possédait	VERB	posséder
prix	NOUN	prix
.	PUNCT	.
la	DET	le
suivant	VERB	suivre
pense	VERB	pense
sa	DET	son
toi	PRON	toi
Deloir	PROPN	Deloir
de	ADP	de
,	PUNCT	,
une	DET	un
es	AUX	être
n'	ADV	n'
comptait	VERB	compter
inspiré	VERB	inspirer
maquillée	VERB	maquiller
que	SCONJ	que
artistique	ADJ	artistique
du	ADP	de
un	DET	un
répertoire	NOUN	répertoire
sa	DET	son
se	PRON	se
au	ADP	au
Française	PROPN	Française
parmi	ADP	parmi
qu'	PRON	qu'
drôle	ADJ	drôle
Paris	PROPN	Paris
jour	NOUN	jour
amoureux	ADJ	amoureux
groupes	NOUN	groupe
,	PUNCT	,
de	ADP	de
cours	NOUN	cours
-il	PRON	il
il	PRON	il
le	PRON	le
la	DET	le
a	VERB	avoir
