portes	NOUN	porte
mettre	VERB	mettre
je	PRON	je
?	PUNCT	?
flamme	NOUN	flamme
de	ADP	de
essaie	VERB	essayer
Je	PRON	je
penchait	VERB	pencher
a	AUX	avoir
,	PUNCT	,
:	PUNCT	:
?	PUNCT	?
au	ADP	au
métier	NOUN	métier
Quoi	PRON	quoi
gêne	NOUN	gêne
comprendre	VERB	comprendre
Viens	VERB	venir
camelot	NOUN	camelot
.	PUNCT	.
d'	ADP	de
une	DET	un
le	DET	le
Anglais	NOUN	anglais
de	ADP	de
quelque	DET	quelque
qui	PRON	qui
la	DET	le
vers	ADP	vers
bonjour	NOUN	bonjour
droit	ADJ	droit
cuir	NOUN	cuir
bas	ADV	bas
demanda	VERB	demander
un	DET	un
Si	SCONJ	si
exerçait	VERB	exercer
?	PUNCT	?
auriez	AUX	avoir
moi	PRON	moi
sortit	VERB	sortir
en	ADP	en
-t	PRON	-t
Une	DET	un
,	PUNCT	,
l'	DET	le
de	ADP	de
pousser	VERB	pousser
,	PUNCT	,
à	ADP	à
et	CCONJ	et
beaucoup	ADV	beaucoup
presque	ADV	presque
...	PUNCT	...
de	ADP	de
...	PUNCT	...
voix	NOUN	voix
et	CCONJ	et
un	DET	un
les	DET	le
une	DET	un
du	ADP	de
la	DET	le
rompre	VERB	rompre
le	DET	le
juvénile	ADJ	juvénile
la	DET	le
par	ADP	par
qui	PRON	qui
vanter	VERB	vanter
le	DET	le
œil	NOUN	œil
non	ADV	non
mauve	ADJ	mauve
Promenade	NOUN	promenade
Le	DET	le
lampadaires	NOUN	lampadaire
cette	DET	ce
comme	ADP	comme
lui	PRON	lui
merveille	NOUN	merveille
boit	VERB	boire
le	DET	le
dans	ADP	dans
verre	NOUN	verre
des	DET	un
j'	PRON	je
garder	VERB	garder
long	ADV	long
va	VERB	aller
...	PUNCT	...
regarda	VERB	regarder
et	CCONJ	et
un	DET	un
d'	ADP	de
et	CCONJ	et
...	PUNCT	...
dans	ADP	dans
