Oh	INTJ	Oh
»	PUNCT	»
activité	NOUN	activité
?	PUNCT	?
bar	NOUN	bar
Monsieur	NOUN	Monsieur
ou	CCONJ	ou
il	PRON	il
le	DET	le
et	CCONJ	et
de	ADP	de
,	PUNCT	,
.	PUNCT	.
pas	ADV	pas
trop	ADV	trop
ample	ADJ	ample
plus	ADV	plus
esquisse	VERB	esquisse
,	PUNCT	,
«	PUNCT	«
d'	ADP	de
yeux	NOUN	oeil
l'	DET	le
C'	PRON	ce
dire	VERB	dire
L'	DET	le
:	PUNCT	:
chez	ADP	chez
fond	NOUN	fond
de	ADP	de
goûte	VERB	goûte
mon	DET	mon
on	PRON	on
de	DET	de
juste	ADV	juste
il	PRON	il
habille	VERB	habille
ravi	ADJ	ravir
,	PUNCT	,
à	ADP	à
très	ADV	très
»	PUNCT	»
Il	PRON	il
Marcheret	PROPN	Marcheret
Le	DET	le
y	PRON	y
de	ADP	de
un	DET	un
de	ADP	de
cuir	NOUN	cuir
un	DET	un
bombé	ADJ	bombé
?	PUNCT	?
ont	AUX	avoir
la	DET	le
et	CCONJ	et
avec	ADP	avec
loin	ADV	loin
Il	PRON	il
choisis	VERB	choisir
est	AUX	être
.	PUNCT	.
lançait	VERB	lancer
Murraille	PROPN	Murraille
d'	ADP	de
Marcheret	PROPN	Marcheret
.	PUNCT	.
gérante	NOUN	gérant
main	NOUN	main
exorbités	ADJ	exorbité
»	PUNCT	»
.	PUNCT	.
sans	ADP	sans
douteuses	ADJ	douteux
.	PUNCT	.
Préciosité	NOUN	préciosité
de	ADP	de
les	DET	le
en	ADP	en
il	PRON	il
lasse	ADJ	las
pas	ADV	pas
vers	ADP	vers
.	PUNCT	.
l'	DET	le
éclat	NOUN	éclat
d'	ADP	de
«	PUNCT	«
,	PUNCT	,
termes	NOUN	terme
yeux	NOUN	oeil
cette	DET	ce
raison	NOUN	raison
de	ADP	de
le	DET	le
toujours	ADV	toujours
quarts	NOUN	quart
module	VERB	module
brique	NOUN	brique
grosse	ADJ	gros
on	PRON	on
lèvres	NOUN	lèvre
précipitamment	ADV	précipitamment
Murraille	PROPN	Murraille
c'	PRON	ce
au	ADV	au
yeux	NOUN	oeil
-là	NOUN	-là
le	PRON	le
la	DET	le
l'	DET	le
Murraille	PROPN	Murraille
Maud	PROPN	Maud
sourire	NOUN	sourire
montrer	VERB	montrer
impassible	ADJ	impassible
plaisanteries	NOUN	plaisanterie
Murraille	PROPN	Murraille
et	CCONJ	et
trois	NUM	trois
installé	VERB	installer
parlent	VERB	parler
ainsi	ADV	ainsi
cravates	NOUN	cravate
Clos	PROPN	Clos
mon	DET	mon
plutôt	ADV	plutôt
.	PUNCT	.
Marcheret	PROPN	Marcheret
insistant	ADJ	insistant
manières	NOUN	manière
le	DET	le
.	PUNCT	.
la	DET	le
robe	NOUN	robe
produit	VERB	produire
en	ADP	en
à	ADP	à
,	PUNCT	,
fond	NOUN	fond
mais	CCONJ	mais
reste	VERB	reste
.	PUNCT	.
à	ADP	à
père	NOUN	père
éclaire	VERB	éclaire
personnalité	NOUN	personnalité
,	PUNCT	,
:	PUNCT	:
la	DET	le
,	PUNCT	,
interpelle	VERB	interpelle
Ça	PRON	cela
les	DET	le
,	PUNCT	,
,	PUNCT	,
est	AUX	être
annulaire	NOUN	annulaire
à	ADP	à
et	CCONJ	et
.	PUNCT	.
les	DET	le
de	ADP	de
aidée	VERB	aider
dessous	ADV	dessous
Marcheret	PROPN	Marcheret
»	PUNCT	»
,	PUNCT	,
gentilhomme	NOUN	gentilhomme
écrase	VERB	écrase
de	ADP	de
.	PUNCT	.
Foucré	PROPN	Foucré
Ils	PRON	il
on	PRON	on
carré	ADJ	carré
Murraille	PROPN	Murraille
époque	NOUN	époque
une	DET	un
On	PRON	on
effet	NOUN	effet
Marcheret	PROPN	Marcheret
Marcheret	PROPN	Marcheret
féminine	ADJ	féminin
a	AUX	avoir
très	ADV	très
du	ADP	de
allusion	NOUN	allusion
le	DET	le
«	PUNCT	«
,	PUNCT	,
basse	ADJ	bas
,	PUNCT	,
vif	ADJ	vif
aigu	ADJ	aigu
,	PUNCT	,
pend	VERB	pendre
fermée	VERB	fermer
de	ADP	de
de	ADP	de
:	PUNCT	:
de	ADP	de
.	PUNCT	.
par	ADP	par
préparant	VERB	préparer
on	PRON	on
la	DET	le
au	ADP	au
ses	DET	son
quelque	DET	quelque
,	PUNCT	,
préciser	VERB	préciser
a	AUX	avoir
cigarette	NOUN	cigarette
Et	CCONJ	et
--	PUNCT	--
,	PUNCT	,
à	ADP	à
Marcheret	PROPN	Marcheret
quartier	NOUN	quartier
un	DET	un
,	PUNCT	,
auberge	NOUN	auberge
pourquoi	ADV	pourquoi
de	ADP	de
mains	NOUN	main
bleu	NOUN	bleu
c'	PRON	ce
,	PUNCT	,
paraît	VERB	paraître
qui	PRON	qui
Foucré	PROPN	Foucré
cuisse	NOUN	cuisse
Nettement	ADV	nettement
Foucré	PROPN	Foucré
fauteuils	NOUN	fauteuil
se	PRON	se
tombe	VERB	tombe
le	DET	le
gros	ADJ	gros
mur	NOUN	mur
derrière	ADP	derrière
Mon	DET	mon
J'	PRON	je
souvent	ADV	souvent
«	PUNCT	«
a	VERB	avoir
,	PUNCT	,
Gallas	PROPN	Gallas
,	PUNCT	,
:	PUNCT	:
.	PUNCT	.
,	PUNCT	,
Entraîneuse	NOUN	entraîneuse
la	PRON	le
ou	CCONJ	ou
à	ADP	à
sa	DET	son
en	PRON	en
dans	ADP	dans
la	DET	le
,	PUNCT	,
,	PUNCT	,
croit	VERB	croire
.	PUNCT	.
éphéméride	NOUN	éphéméride
.	PUNCT	.
leur	PRON	leur
mépris	NOUN	mépris
:	PUNCT	:
,	PUNCT	,
Insolente	ADJ	insolent
à	ADP	à
un	DET	un
Gallas	PROPN	Gallas
exprime	VERB	exprime
quarante	NUM	quarante
torse	NOUN	torse
de	ADP	de
.	PUNCT	.
des	DET	un
.	PUNCT	.
menton	NOUN	menton
lui	PRON	lui
,	PUNCT	,
,	PUNCT	,
appelle	VERB	appeler
découverte	VERB	découvrir
Cette	DET	ce
l'	DET	le
cette	DET	ce
poignet	NOUN	poignet
nouveau	ADJ	nouveau
du	ADP	de
endroit	NOUN	endroit
du	ADP	de
.	PUNCT	.
debout	ADV	debout
ni	CCONJ	ni
auriculaire	NOUN	auriculaire
de	ADP	de
penché	VERB	pencher
le	DET	le
lui	PRON	lui
il	PRON	il
à	ADP	à
--	PUNCT	--
,	PUNCT	,
,	PUNCT	,
le	DET	le
affecte	VERB	affecte
tient	VERB	tenir
:	PUNCT	:
Le	DET	le
voix	NOUN	voix
mangera	VERB	manger
,	PUNCT	,
ton	NOUN	ton
Clos	PROPN	Clos
voix	NOUN	voix
un	DET	un
trois	NUM	trois
pour	ADP	pour
cheminée	NOUN	cheminée
voix	NOUN	voix
:	PUNCT	:
d'	ADP	de
main	NOUN	main
Quelle	DET	quel
athlétique	ADJ	athlétique
Beaulieu	PROPN	Beaulieu
les	DET	le
l'	PRON	l'
Marcheret	PROPN	Marcheret
grave	ADJ	grave
,	PUNCT	,
.	PUNCT	.
et	CCONJ	et
mauves	ADJ	mauve
,	PUNCT	,
cadran	NOUN	cadran
qu'	SCONJ	que
le	DET	le
.	PUNCT	.
mon	DET	mon
sa	DET	son
d'	ADP	de
«	PUNCT	«
Légion	NOUN	légion
lui	PRON	lui
,	PUNCT	,
paroles	NOUN	parole
bar	NOUN	bar
blond	ADJ	blond
et	CCONJ	et
oui	ADV	oui
,	PUNCT	,
,	PUNCT	,
soir	NOUN	soir
l'	PRON	l'
chevalière	NOUN	chevalière
silhouette	NOUN	silhouette
Une	DET	un
la	DET	le
Excusez	VERB	excuser
vague	ADJ	vague
Clos	PROPN	Clos
prit	VERB	prendre
ai	VERB	avoir
provoque	VERB	provoque
le	PRON	le
de	ADP	de
celui	PRON	celui
Et	CCONJ	et
sienne	PRON	sienne
veston	NOUN	veston
Impossible	ADJ	impossible
prince-de-galles	NOUN	prince-de-galles
ni	CCONJ	ni
jour	NOUN	jour
appelant	VERB	appeler
Celui	PRON	celui
que	PRON	que
la	DET	le
saurait	VERB	savoir
un	DET	un
.	PUNCT	.
s'	PRON	se
doutons	VERB	douter
volontiers	ADV	volontiers
efforts	NOUN	effort
.	PUNCT	.
Il	PRON	il
Comte	NOUN	comte
qui	PRON	qui
répond	VERB	répondre
-ils	PRON	il
accents	NOUN	accent
père	NOUN	père
aux	ADP	à
On	PRON	on
qu'	PRON	qu'
Tout	PRON	tout
et	CCONJ	et
velouté	NOUN	velouté
comme	ADP	comme
conversation	NOUN	conversation
l'	DET	le
N'	ADV	n'
dont	PRON	dont
chère	ADJ	cher
blonde	ADJ	blond
--	PUNCT	--
Guy	PROPN	Guy
et	CCONJ	et
des	DET	un
nuit	NOUN	nuit
,	PUNCT	,
demande	VERB	demande
doucement	ADV	doucement
sorte	NOUN	sorte
.	PUNCT	.
,	PUNCT	,
il	PRON	il
dans	ADP	dans
,	PUNCT	,
sein	NOUN	sein
»	PUNCT	»
bar	NOUN	bar
observera	VERB	observer
Marcheret	PROPN	Marcheret
On	PRON	on
ma	DET	mon
toujours	ADV	toujours
autour	ADV	autour
son	DET	son
14	NUM	14
se	PRON	se
Comte	NOUN	comte
variétés	NOUN	variété
observer	VERB	observer
chiffre	NOUN	chiffre
--	PUNCT	--
de	ADP	de
main	NOUN	main
cette	DET	ce
un	DET	un
une	DET	un
l'	DET	le
confectionnés	VERB	confectionner
Marcheret	PROPN	Marcheret
ne	ADV	ne
Mon	DET	mon
gestes	NOUN	geste
Au	ADP	au
de	ADP	de
montre	NOUN	montre
efface	VERB	effacer
.	PUNCT	.
nuque	NOUN	nuque
Gallas	PROPN	Gallas
:	PUNCT	:
recherche	NOUN	recherche
Gallas	PROPN	Gallas
moment	NOUN	moment
la	DET	le
besoin	NOUN	besoin
A	ADP	à
le	DET	le
-	PRON	-
est	AUX	être
.	PUNCT	.
par	ADP	par
tiroir	NOUN	tiroir
est	AUX	être
ou	CCONJ	ou
sont	AUX	être
assemble	VERB	assemble
année	NOUN	année
de	ADP	de
plus	ADV	plus
qui	PRON	qui
mon	DET	mon
subtils	ADJ	subtil
