étend	VERB	étendre
pièce	NOUN	pièce
pas	NOUN	pas
c'	PRON	ce
où	PRON	où
sur	ADP	sur
sur	ADP	sur
,	PUNCT	,
de	ADP	de
.	PUNCT	.
portail	NOUN	portail
jusqu'	ADP	jusque
fils	NOUN	fils
gonfle	VERB	gonfle
étirait	VERB	étirer
.	PUNCT	.
main	NOUN	main
du	ADP	de
le	DET	le
émergeant	VERB	émerger
,	PUNCT	,
.	PUNCT	.
enterrement	NOUN	enterrement
le	DET	le
quelque	DET	quelque
rue	NOUN	rue
rue	NOUN	rue
c'	PRON	ce
même	ADV	même
noires	ADJ	noir
,	PUNCT	,
force	NOUN	force
,	PUNCT	,
avant	ADJ	avant
moins	ADV	moins
faire	VERB	faire
chagrin	NOUN	chagrin
fait	VERB	faire
enlever	VERB	enlever
du	ADP	de
pour	ADP	pour
immobiles	ADJ	immobile
changeant	VERB	changer
,	PUNCT	,
faire	AUX	faire
embrasser	VERB	embrasser
.	PUNCT	.
petite	ADJ	petit
Juste	ADV	juste
possible	ADJ	possible
,	PUNCT	,
cris	NOUN	cri
mesure	NOUN	mesure
pâtis	NOUN	pâtis
surplomb	NOUN	surplomb
grisé	NOUN	grisé
par	ADP	par
place	NOUN	place
nue	ADJ	nu
peu	ADV	peu
les	DET	le
.	PUNCT	.
qui	PRON	qui
verrues	NOUN	verrue
Enfilade	NOUN	enfilade
obscur	ADJ	obscur
tenus	VERB	tenir
Alain	PROPN	Alain
avec	ADP	avec
que	SCONJ	que
tôle	NOUN	tôle
était	VERB	être
fond	NOUN	fond
les	DET	le
un	DET	un
un	DET	un
boucle	NOUN	boucle
chaussures	NOUN	chaussure
souvent	ADV	souvent
remplie	VERB	remplir
«	PUNCT	«
la	DET	le
fossés	NOUN	fossé
encore	ADV	encore
.	PUNCT	.
comme	ADP	comme
jaune	ADJ	jaune
vacarme	NOUN	vacarme
Les	DET	le
au	ADP	au
le	DET	le
y	PRON	y
à	ADP	à
pu	VERB	pouvoir
est	AUX	être
,	PUNCT	,
,	PUNCT	,
en	ADP	en
les	DET	le
pénombre	NOUN	pénombre
collés	VERB	coller
bâille	PROPN	bâiller
se	PRON	se
aux	ADP	à
chandeliers	NOUN	chandelier
se	PRON	se
est	AUX	être
,	PUNCT	,
changent	VERB	changer
réseau	NOUN	réseau
par	ADP	par
,	PUNCT	,
.	PUNCT	.
avant	ADP	avant
côté	NOUN	côté
s'	PRON	se
il	PRON	il
grande	ADJ	grand
en	ADP	en
sa	DET	son
parce	SCONJ	parce
quand	SCONJ	quand
ami	NOUN	ami
,	PUNCT	,
isolent	VERB	isoler
parce	SCONJ	parce
grosses	ADJ	gros
une	DET	un
long	NOUN	long
s'	PRON	se
traînait	VERB	traîner
des	DET	un
ont	VERB	avoir
.	PUNCT	.
à	ADP	à
gauche	ADJ	gauche
me	PRON	me
ose	VERB	ose
épaules	NOUN	épaule
montés	VERB	monter
,	PUNCT	,
route	NOUN	route
s'	PRON	se
le	DET	le
centre	NOUN	centre
pays	NOUN	pays
du	ADP	de
presque	ADV	presque
de	ADP	de
-	PROPN	-
qu'	SCONJ	que
lunettes	NOUN	lunette
l'	DET	le
tenait	VERB	tenir
de	ADP	de
gabardines	NOUN	gabardine
fourgon	NOUN	fourgon
le	DET	le
le	DET	le
menuiserie	NOUN	menuiserie
un	DET	un
de	ADP	de
,	PUNCT	,
,	PUNCT	,
à	ADP	à
précède	VERB	précéder
contre	ADP	contre
balais	NOUN	balai
qui	PRON	qui
ceux	PRON	celui
retourné	VERB	retourner
reste	VERB	reste
bout	NOUN	bout
une	DET	un
On	PRON	on
que	SCONJ	que
rien	ADV	rien
:	PUNCT	:
qui	PRON	qui
l'	DET	le
lança	VERB	lancer
ses	DET	son
s'	PRON	se
d'	ADP	de
ils	PRON	il
bête	ADJ	bête
la	DET	le
tout	ADV	tout
j'	PRON	je
la	DET	le
ai	AUX	avoir
si	ADV	si
un	DET	un
à	ADP	à
le	DET	le
eau	NOUN	eau
ouvert	ADJ	ouvert
son	DET	son
,	PUNCT	,
Et	CCONJ	et
sa	DET	son
tout	ADV	tout
La	DET	le
.	PUNCT	.
aboyer	VERB	aboyer
seulement	ADV	seulement
.	PUNCT	.
leurs	DET	leur
tandis	ADV	tandis
étrangler	VERB	étrangler
on	PRON	on
la	DET	le
et	CCONJ	et
comme	SCONJ	comme
dit	VERB	dire
à	ADP	à
le	DET	le
cortège	NOUN	cortège
vide	NOUN	vide
la	DET	le
mais	CCONJ	mais
viennent	VERB	venir
joue	NOUN	joue
plat	ADJ	plat
C'	PRON	ce
est	AUX	être
sa	DET	son
la	DET	le
horizon	NOUN	horizon
hangar	NOUN	hangar
porte	NOUN	porte
colonne	NOUN	colonne
noir	ADJ	noir
cordons	NOUN	cordon
autres	NOUN	autre
»	PUNCT	»
dans	ADP	dans
plafond	NOUN	plafond
s'	PRON	se
que	ADV	que
---	PUNCT	---
s'	PRON	se
brutalement	ADV	brutalement
,	PUNCT	,
sur	ADP	sur
il	PRON	il
à	ADP	à
essaim	NOUN	essaim
,	PUNCT	,
,	PUNCT	,
La	DET	le
se	PRON	se
filet	NOUN	filet
le	DET	le
pour	ADP	pour
de	ADP	de
boules	NOUN	boule
,	PUNCT	,
en	ADP	en
restaient	VERB	rester
à	ADP	à
d'	ADP	de
le	DET	le
tirant	VERB	tirer
le	DET	le
pas	NOUN	pas
chien	NOUN	chien
,	PUNCT	,
Trois	NUM	Trois
ici	PRON	ici
,	PUNCT	,
souterrains	ADJ	souterrain
d'	ADP	de
Le	DET	le
,	PUNCT	,
abat	VERB	abattre
,	PUNCT	,
tressaillement	NOUN	tressaillement
ça	PRON	cela
ciel	NOUN	ciel
.	PUNCT	.
à	ADP	à
attendent	VERB	attendre
dessus	ADV	dessus
reste	VERB	reste
était	AUX	être
est	VERB	être
de	ADP	de
les	DET	le
,	PUNCT	,
ce	PRON	ce
sa	DET	son
»	PUNCT	»
d'	ADP	de
,	PUNCT	,
de	ADP	de
pas	ADV	pas
attendait	VERB	attendre
demi	NOUN	demi
se	PRON	se
des	DET	un
droits	ADJ	droit
pas	ADV	pas
est	AUX	être
les	DET	le
les	PRON	le
.	PUNCT	.
été	AUX	être
les	DET	le
s'	PRON	se
jour	NOUN	jour
marais	NOUN	marais
de	ADP	de
.	PUNCT	.
une	DET	un
parce	SCONJ	parce
becc'	PROPN	becc'
tête	NOUN	tête
bombé	ADJ	bombé
comme	ADP	comme
arrêtée	VERB	arrêter
Champ-Saint-Père	PROPN	Champ-Saint-Père
On	PRON	on
hurle	VERB	hurle
porteurs	NOUN	porteur
,	PUNCT	,
dessus	NOUN	dessus
côté	NOUN	côté
On	PRON	on
,	PUNCT	,
qui	PRON	qui
il	PRON	il
me	PRON	me
Les	DET	le
,	PUNCT	,
jour	NOUN	jour
effiloche	VERB	effiloche
entre	ADP	entre
sans	ADP	sans
c'	PRON	ce
tout	PRON	tout
ne	ADV	ne
.	PUNCT	.
s'	PRON	se
pleins	ADJ	plein
d'	ADP	de
que	SCONJ	que
de	ADP	de
la	DET	le
on	PRON	on
il	PRON	il
plat	ADJ	plat
qu'	PRON	qu'
traîner	VERB	traîner
sous	ADP	sous
portail	NOUN	portail
centaines	NOUN	centaine
allumé	VERB	allumer
côté	NOUN	côté
,	PUNCT	,
chien	NOUN	chien
vont	VERB	aller
horizon	NOUN	horizon
Quand	SCONJ	quand
eau	NOUN	eau
chaîne	NOUN	chaîne
serré	VERB	serrer
du	ADP	de
marche	VERB	marche
,	PUNCT	,
,	PUNCT	,
je	PRON	je
éloignent	VERB	éloigner
de	DET	de
en	ADP	en
et	CCONJ	et
si	SCONJ	si
seule	ADJ	seul
,	PUNCT	,
n'	ADV	n'
le	DET	le
entre	ADP	entre
vent	NOUN	vent
suis	AUX	être
choses	NOUN	chose
.	PUNCT	.
coup	NOUN	coup
jardins	NOUN	jardin
pas	ADV	pas
cette	DET	ce
cette	DET	ce
épaules	NOUN	épaule
au	ADP	au
suis	AUX	être
oiseaux	NOUN	oiseau
Les	DET	le
départ	NOUN	départ
carrelage	NOUN	carrelage
.	PUNCT	.
pas	ADV	pas
où	PRON	où
,	PUNCT	,
homme	NOUN	homme
vent	NOUN	vent
encore	ADV	encore
lui	PRON	lui
ça	PRON	cela
noir	ADJ	noir
,	PUNCT	,
décembre	NOUN	décembre
grand	ADJ	grand
par	ADP	par
fils	NOUN	fils
distances	NOUN	distance
à	ADP	à
loin	ADV	loin
Bourg-d'en-haut	PROPN	Bourg-d'en-haut
s'	PRON	se
monstres	NOUN	monstre
ses	DET	son
pierres	NOUN	pierre
sol	NOUN	sol
.	PUNCT	.
on	PRON	on
un	DET	un
tout	ADV	tout
Au	ADP	au
,	PUNCT	,
qui	PRON	qui
mot	NOUN	mot
comme	ADP	comme
à	ADP	à
sur	ADP	sur
chapeau	NOUN	chapeau
.	PUNCT	.
ou	CCONJ	ou
son	DET	son
contre	ADP	contre
.	PUNCT	.
à	ADP	à
au	ADP	au
jusque	ADP	jusque
.	PUNCT	.
de	ADP	de
rien	PRON	rien
ciel	NOUN	ciel
brouillé	VERB	brouiller
des	ADP	de
cours	NOUN	cours
sur	ADP	sur
nids-de-poule	NOUN	nids-de-poule
