soulagé	VERB	soulager
mécanique	ADJ	mécanique
n'	ADV	n'
son	NOUN	son
irréelle	ADJ	irréel
contempla	VERB	contempler
cruel	ADJ	cruel
en	ADP	en
tranchante	ADJ	tranchant
.	PUNCT	.
entre	ADP	entre
homme	NOUN	homme
homme	NOUN	homme
.	PUNCT	.
adressée	VERB	adresser
patte	NOUN	patte
,	PUNCT	,
fermé	VERB	fermer
entaillaient	VERB	entailler
d'	ADP	de
bottes	NOUN	botte
il	PRON	il
joues	NOUN	joue
montèrent	VERB	monter
.	PUNCT	.
Un	DET	un
et	CCONJ	et
il	PRON	il
Il	PRON	il
lui	PRON	lui
Mais	CCONJ	mais
son	DET	son
illusoire	ADJ	illusoire
pieds	NOUN	pied
faire	AUX	faire
sur	ADP	sur
enlacer	VERB	enlacer
de	DET	de
.	PUNCT	.
étrangement	ADV	étrangement
un	DET	un
.	PUNCT	.
de	ADP	de
gelés	VERB	geler
quitter	VERB	quitter
des	DET	un
bien	ADV	bien
d'	ADP	de
les	DET	le
ne	ADV	ne
ange	NOUN	ange
l'	DET	le
L'	DET	le
après	ADP	après
il	PRON	il
cils	NOUN	cil
humanité	NOUN	humanité
.	PUNCT	.
Ainsi	ADV	ainsi
,	PUNCT	,
reprendre	VERB	reprendre
lèvre	NOUN	lèvre
.	PUNCT	.
coinçant	VERB	coincer
vain	ADJ	vain
mort	NOUN	mort
d'	ADP	de
et	CCONJ	et
avait	AUX	avoir
temps	NOUN	temps
.	PUNCT	.
il	PRON	il
sans	ADP	sans
facultés	NOUN	faculté
la	DET	le
fou	ADJ	fou
de	ADP	de
plutôt	ADV	plutôt
,	PUNCT	,
mais	CCONJ	mais
.	PUNCT	.
dans	ADP	dans
rochers	NOUN	rocher
proie	NOUN	proie
Erin	PROPN	Erin
peu	ADV	peu
la	PRON	le
en	PRON	en
,	PUNCT	,
ne	ADV	ne
L'	DET	le
la	DET	le
dans	ADP	dans
l'	DET	le
mer	NOUN	mer
droit	ADJ	droit
sa	DET	son
.	PUNCT	.
l'	DET	le
volaient	VERB	voler
et	CCONJ	et
.	PUNCT	.
mais	CCONJ	mais
celui	PRON	celui
fonctionner	VERB	fonctionner
rester	VERB	rester
homme	NOUN	homme
lécher	VERB	lécher
d'	ADP	de
pour	ADP	pour
prière	NOUN	prière
lui	PRON	lui
d'	ADP	de
comme	ADP	comme
et	CCONJ	et
vit	VERB	voir
à	ADP	à
furent	AUX	être
brillait	VERB	briller
l'	PRON	l'
Et	CCONJ	et
douleur	NOUN	douleur
l'	DET	le
droit	ADJ	droit
plage	NOUN	plage
âpre	ADJ	âpre
la	DET	le
que	SCONJ	que
de	ADP	de
celles	PRON	celui
l'	PRON	l'
oubli	NOUN	oubli
plage	NOUN	plage
rien	PRON	rien
si	ADV	si
gardaient	VERB	garder
puis	CCONJ	puis
,	PUNCT	,
chaudes	ADJ	chaud
dévisageait	VERB	dévisager
à	ADP	à
